Roman-Urdu,Urdu
btati,بتاتی
kren,کريں
dete,دیتے
thora,تھوڑا
block11,بلوک
afwa,افواہ
slow,سلو
tahare,تہارے
bolo,بولوں
0,٠٠
hafiz,حافظ
waqar,وقار
begum,بیگم
shazia,شازیہ
moqa,موقع
manta,مانتا
bje,بجے
behroz,بہروز
syed,سيد
much,مچھ
boyfriend,بويفرينڈ
so,سو
mafhoom,مفہوم
breakup,بریک
target,ٹارگٹ
sunana,سنانا
aaho,آہو
mohtaj,محتاج
door,دور
interest,انٹريسٹ
refrence,ریفرنس
shikway,شکوے
18,١٨
jugno,جگنو
naslain,نسلیں
aasan,آسا
femly,فیملی
acha,اچھا
ulta,الٹا
lala,لالہ
here,هیر
speed,سپیڈ
leta,لیتا
5,5
insha,انشاء
phelana,پھیلانا
rahm,رحم
kn,کن
ghus,گھس
wahan,وہاں
ghafil,غافل
kahti,کہتی
hyd,حیدرآباد
news,نوس
alone,الونرائیڈر
pani,پانی
ans,آنس
pehnana,پہنانا
not,نوٹ
mushtaq,مشتاق
tasweer,تصوير
uljhano,الجھنوں
bakhshi,بخشی
obtain,وبٹين
bechny,بیچنے
keke,کي
hastiyan,ہستیاں
multan,ملتان
banta,بنتا
jaisa,جیسا
hawas,حواس
farman,فرمان
hi,هاے
arz,ارض
gol,گول
usko,اسکو
bahaaron,بہاروں
barbie,باربی
doosra,دوسرا
dhoonda,ڈھونڈا
atawo,آٹا
rakhna,رکھنا
worthless,ورٹھ
raza,راذا
andaz,انداز
rizwan,رضوان
niny,نینی
saya,سایہ
khoobi,خوبی
de,دے
msaly,مسالے
kabhi,کبھی
roshni,روشنی
usually,يسياللي
barish,بارش
t-shirt,ٹشرٹ
sheeshay,شیشے
serious,سيراوس
add,اد
allah,اللاہ
alfaz,الفاظ
thehre,ٹھہر
prwana,پروانہ
mass,ماس
dilasa,دلاسا
cel,سیل
jhoot,جھوٹ
dmagh,دماغ
chhor,چھور
mukhlis,مخلص
hussain,حسین
yaqeen,یقین
s,س
prat,پرت
thaka,تھکا
sath,ساتھ
zimb,زمبابوے
sube,صوبے
abundance,ابانڈانس
asit,است
dance,ڈانس
dhamakha,دھماکہ
likhun,لکھوں
pasha,پاشا
adam,آدم
bathoro,بٹھورو
nashe,نشے
trat,ترت
didaar,دیدار
poetry,پویٹری
almi,علمی
sataya,ستایا
tufaan,طوفان
naukar,نوکر
shor,شور
kuch,کچ
lagain,لگیں
inhain,انهیں
bayan,بیان
one,وني
quick,کوک
chal,چل
samsung,سامسنگ
raise,ريسي
kato,کاٹو
pari,پڑی
manee,معني
galian,گالیاں
tarafdar,طرفدار
sake,سکے
basr,بسر
azaan,اذان
khila,کھلا
sweet,سویٹ
aksar,اکثر
zara,زارا
pane,پانے
phenkte,پھینکتے
chopaal,چوپال
twenty,ٹوينٹي
bja,بجا
ghasib,غاصب
it,اٹ
czone,زون
dua,دوا
talawt,تلاوت
ne,نیہ
legal,ليگل
saat,سات
sad,ساڈ
world,ورلڈ
samajhti,سمجھتی
aar,آڑ
bhara,بھرا
mrna,مرنا
students,سٹوڈنٹس
roof,روف
mem,میم
april,اپرل
hain,هیں
bikhra,بکھرا
peyam,پیام
kindness,کنڈنيس
yaha,یهاں
walo,والو
hi,ھی
sindhi,سندھی
ankhain,آنکھیں
bhar,بهر
roti,روٹي
badnam,بدنام
help,حيلپ
yellow,ييللو
unhen,انہیں
meetingpoint,میٹنگ
mk,مک
sign,سگن
equal,يکيال
totay,طوطے
dono,دونو
nigahon,نگاہوں
truck,ٹرک
maan,مان
request,ریکویسٹ
amazing,اماذنگ
nepal,نيپال
tomorrow,ٹوموررو
jo,جو
form,فورم
pendi,پنڈی
ehataram,احترام
ikram,اکرام
live,لایوو
jagta,جاگتا
18,18
asman,آسمان
horaha,ہورہا
zoya,زویا
kesa,کیسا
hadi,ہادی
jhal,جھل
khana,کھانا
bor,بور
lot,لوٹ
heart,حيرٹ
badulatwarna,بدولت
pehchaan,پہچان
utar,اتر
parh,پڑھ
naseeb,نصیب
sheet,شیٹ
standard,سٹانڈارڈ
hamari,ہماری
achar,اچار
mystery,مسٹری
hoti,هوتی
apka,اپکا
car,کار
drink,ڈرنک
30,٣٠
jalen,جلیں
shah,شاہ
bandh,بانڈ
umar,امر
guarantor,گيارانٹر
raatain,راتیں
bahrpoor,بھرپور
rakhi,رکھی
palkain,پلکیں
riazs,ریاض
roth,روتھ
mojooda,موجودہ
kara,کرا
anarkali,انار
saath,ساٹھ
return,ريٹيرن
zarfk,ظرف
bolay,بولے
arooj,اوج
mazee,ماضي
sayanafrat,سایا
waliullah,ولی
toqeer,توقیر
muhammad,ميحامماڈ
bulwaon,بلوا
khalwat,خلوت
chand,چند
laale,لالے
b,بہی
sapna,سپنا
itminan,اطمینان
jao,جاؤ
shab,شب
array,اررے
nick,نیک
kamalia,کمالیہ
rainy,رینی
jhooly,جھولے
shewa,شیوا
ans,انس
dekh,ديکھ
sabot,ثبوت
lareb63,لاریب
quota,کوٹا
husan,حسان
khan,خان
chalte,چلتے
zabt,ضبط
hua,هوا
shakil,شکیل
dakhl,دخل
apna,اپنا
aain,آییں
cenashahzadi,سینا
ap,آپ
jaldi,جلد
teesra,تيسرا
oba,وبا
instant,انسٹانٹ
raz,راز
hansi,ہنسی
darling,ڈارلنگ
rakhta,رکھتا
aeyna1,اینا
hera,ہرا
dhal,ڈھل
jhuka,جھکا
ao,آو
ahmed,احمد
nana,نانا
insaf,انصاف
sanwal,سانول
khushbo,خوشبو
darwaza,دروازا
nishter,نشتر
janib'e'manzil,جانب
maghz,مغز
ae,آے
islamianstars,اسلامیان
akbar,اکبر
kanto,کاٹوں
morning,مورننگ
chole,کھولے
need,نيڈ
dhamaka,دھماکا
24,٢٤
hm,همنشیں
andaza,اندازہ
rain,رين
la,لا
pao,پاوں
dala,ڈالا
khali,خالی
bandgi,بندگی
bndon,بندوں
hour,حوار
w,وعلیکم
aasan,آسان
behl,بہل
august,ايگيسٹ
paka,پکا
december,ڈيسيمبير
ao,آؤ
metha,میٹھا
quran,قرآن
mazduri,مزدوری
khoya,کھویا
shi,شی
ulajh,الجھ
honey,هنی
noman,نومن
sasti,سستی
danial,دانیال
khilona,کھلونا
usama,اسامہ
unka,انکا
could,کيلڈ
kam,کام
direct,ڈاریکٹ
maang,مانگ
ufaq,افق
gunah,گناہ
ulti,الٹی
ne,نے
sham,شم
lanch,لانچ
meri,میرٹ
jinko,جنکو
dani,دانی
firaq1,فراق
hamesha,ہمیشہ
zulfain,زلفیں
pao,پاو
aspect,اسپيکٹ
sharjel,شرجیل
crowd,کروڈ
kro,کروگے
janbaz32,جانباز
dekhta,دیکھتا
soya,سویا
pher,پھیر
nimazo,نمازوں
doon,دوں
wastay,واسطے
dod,دود
rao,راؤ
fairy,فیری
poetry,پؤیٹری
tirmizi,ترمزی
khilate,کھلاتے
often,وفٹين
bacha,بچا
loose,لوسي
mila,ملا
yaro,یارو
subhan,سبحان
from,فروم
k,کے
student,سٹوڈنٹ
masroof,معروف
tarzan,ٹارزن
hobby,هوبی
attari,اتاری
lamhe,لمحے
create,کریٹ
kana,کانا
jotioon,جوتیوں
babu,بابو
bheer,بھیڑ
5,٥
boy,بوي
zuhaib,زوہیب
shan,شان
kami,کمی
smile,سمایل
apka,آپکا
wasi,واسی
sulaiman,سلیمان
khak,خاک
jeete,جیتے
lga,لگان
munasib,مناسب
sindhu,سندھو
hatheli,ہتھیلی
dalo,ڈالو
hoga,ہوگا
kitni,کتنی
dagh,داغ
enjoy,انجوائے
seet,سیتا
department,ڈیپارٹمنٹ
batla,بتلا
rawaj,رواج
paltu,پالتو
saqib,ثاقب
dila,دلا
rechilli,رچ
dubi,ڈوبی
kml3,کمل
rawani,روانی
apno,اپنوں
hamara,ہمارا
wabastgi,وابستگی
rakhta,رکهتا
kuch,کچہ
paaon,پاؤ
deepfriends,ڈیپ
type,ٹيپي
ok,وک
hon,هون
khol,کھول
lagte,لگتے
banata,بناتا
fail,فیل
pait,پیٹ
amna,آمنہ
jhank,جھانک
rest,ریسٹ
fine,فاین
meri,میر
usi,اسی
tareeki,تاریکی
taluq,تعلق
nafs,نفس
kahan,کہاں
ami,امی
kisne,کسنے
krb,کرب
toll,تولل
infaradi,انفرادی
rosh,روش
aqeel,عقیل
jahgra,جھگڑا
purpose,پيرپوسي
awake,واک
ate,اتے
chulta,چلتا
kishmish,کشمش
fida,فدا
chahat,چاہت
sogawar,سوگوار
deikhen,دیکھیں
insha,انشاللہ
um,امِ
len,لیں
badshah,بادشاہ
naach,ناچ
mosam,موسم
e,اے
marhaba,مرحبا
chalo,چلو
anokha,انوکھا
school,سکول
waheed,وحید
jan,جان
doraan,دوران
b,بی
birthday,برتھڈے
badli,بدلی
hijr,ہجر
suche,سچے
dear,ڈیر
hru,ہرو
keyo,کيوں
warid,وارد
way,وے
bolo,بولبو
bara,بڑا
sms,سمس
mamu,ماموں
mumtaz,ميمٹاذ
shurli,شرلی
last,لاسٹ
isharay,اشارے
bhejoon,بھیجوں
31,٣١
hero,حيرو
order,ورڈير
yakh,یخ
dangr,دنگ
soyen,سویاں
pehla,پہلا
sahara,سهارا
daku,ڈاکو
kral,کرل
gunahon,گناہوں
request,رقیسٹ
musalmano,مسلمانوں
kaj,کاج
thak,تھک
mama,مما
life,لفي
hamain,ھمیں
islami,اسلامی
dekho,دکھو
ameendil007,امین
malahhhhhh,ملاح
and,اند
jia,جیا
fear,فير
tmez,تمیز
behn,بھن
arsa,عرصہ
seeda,سیدھا
hathi,ہاتھی
kamyabi,کامیابی
shedai,شیدائی
khilonon,کھلونوں
jhagre,جھگڑے
gya,گیا
a,ا
faryad,فریاد
ta,تا
dost,دست
lekin,لکین
rahi,راہی
jahad,جہاد
momin,مومن
bngla,بنگلہ
market,مارکيٹ
hoti,ھوتی
khas,خاص
it,یت
sagar,ساگر
gloom,گلوم
atta,عطا
karta,کرٹ
marna,مارنا
tho,تھو
bloom,بلوم
jana,جانا
jalte,جلتے
chura,چورا
bagara,بگاڑا
khata,کھاتا
bm,بم
khona,کھونا
mansooba,منصوبه
lehaz,لحاظ
pleasure,پليسير
choti,چوٹی
roya,رویا
pila,پلا
tolia,تولیہ
ishaa,عشاء
dalay,ڈالے
enjoy,انجونے
argument,ارگيمنٹ
rahen,راہیں
suno,سنو
sardi,سردی
qurb,قرب
zmen,زمیں
boorrha,بوڑھا
inhabited,انحابٹڈ
warkatal,وارک
milti,ملتی
gunahgar,گناہگار
aram,آرام
gandi,گندی
ghari,گھڑی
baghdad,بغداد
stone,سٹوني
sikhana,سکھانا
namalom,نامعلوم
tapish,تپیش
quickly,کوکلي
altaf,الطاف
morr,موڑ
sorry,سورری
zulfon,زلفوں
hme,همیں
uthane,اٹھانے
g,گ
nikalo,نکالو
adalat,عدالت
moti,موٹی
ask,آسک
grdin,گردن
dump,ڈمپ
jismoon,جسموں
ronay,رونے
jagte,جاگتے
fahim,فاحم
khud,خد
shikayat,شکایات
aansu,آنسو
help,ہیلپ
taqdeerain,تقدیریں
farhan,فرحاں
titliyan,تتلیاں
bored,بوريڈ
sakna,سکنا
khadija,خدیجہ
hamid,حامد
hone,ہونے
kafro,کافروں
musharraf,ميشارراف
sekh,سکھ
deed,دید
hot,ھوٹ
zaib143,زیب
pyaron,پیاروں
makhn,مکھن
hina,حنا
rely,ریلی
nikli,نکلی
surat,صورت
pakistan,پاکستان
leja,لیجا
inqalaab,انقلاب
end,ينڈ
choor,چور
anmol,انمول
hazoor,حضور
dhal,ڈھال
behtaren,بہترین
bikhrne,بکھرنے
tanoli,تنولی
samjha,سمجھا
pana,پانا
baho,بہو
fozia,فوزیہ
galti,غلطی
jadon,جدوں
zaidi,زیدی
kitab,کتاب
sumaira,سمیرا
tadad,تعداد
pasa,پاسا
blank,بلانک
fake,فاکي
zindagi,زندگی
seena,سينا
ent,انت
roky,روکے
bura,برا
jagaey,جاگے
fatohat,فتوحات
reply,رپلی
karti,کاری
har,ہار
ha,ها
hasti,ہستی
fesle,فیصلے
shikayat,شکایت
baap,باپ
frank,فرانک
badla,بدلا
toti,طوطی
guna,گنا
jurwa,جروا
mangtay,مانگتے
bki,بکی
shoaib,شعیب
away,آوے
dhal,دھل
aag,آگ
khulq,خلق
raqeeb,رقیب
mong,مونگ
1700,١٧٠٠
lanti,لعنتی
kufr,کفر
faraz,فراز
nakhun,ناخن
parindon,پرندوں
teno,تنو
jungle,جنگل
pnuawan2310,پنو
chakr,چکر
murghi,مرغی
cheeta,چیتا
piaro,پیرو
april,اپریل
mujahid,مجاہد
dijia,دیجیئے
february,فيبرياري
less,ليس
chez,چيز
goldn,گولڈن
jese,جیس
ibrar,ابرار
nakhre,نخرے
mre,مرے
bhaijan,بھیجیں
dalal,دلال
waris,وارث
milne,ملنے
pyare,پیارے
blood,بلوڈ
bald,بالڈ
chorangi,چورنگی
enemy,ينيمي
baten,باتیں
jheel,جھیل
footpath,فوت
korray,کوڑے
k,ک
musafat,مسافت
pechy,پیچے
silence,سلينس
swab,ثواب
bhulaya,بھلایا
cheer,چیر
dream,ڈریم
art,ارٹ
mawaqay,مواقع
numb,نمب
harris,حاررس
ehtjaj,احتجاج
naha,نہا
lash,لاش
hockey,حوکيي
labi,لابی
farma,فرما
free,فری
gadha,گدھا
ik,اک
baith,بيٹھ
ati,آتی
parhti,پڑھتی
sathi,ساتھی
sulagte,سلگتے
jinho,جنہوں
bheje,بھیجتی
kese,کیسے
soni,سونی
zaror,ظرور
trbiat,تربیت
foot,فوٹ
funkar,فنک
karte,کرتے
sajdon,سجدوں
laga,لگا
kawa,کوا
aazmane,آزمانے
hotel,ہوٹل
heere,ہیرے
maya,مایا
biwi,بیوی
sok,سوک
qasi,قاسی
kheriyat,خیریت
baron,بڑوں
paki,پاکی
unki,انکی
gupta,گپتا
hogya,ہوگیا
wam,وام
pairon,پیروں
wali,والی
saqi,ساقی
marte,مرتا
fani,فانی
circket,کرک
zamane,زمانے
phirtay,پھرتے
abao,آباؤ
peeney,پینے
sabit,ثابت
saudi,سعودی
uski,اسکی
take,تاکے
zama,زما
pata,پتا
lath,لات
darse,درس
diwar,دیوار
maskean,مسکین
rehti,رہتی
tariko,طریقوں
hosloon,حوصلوں
bha,بھا
zubaida,زبیدہ
shart,شرت
sufyan,سفیان
noor,نور
appiel,اپیل
city,سٹی
bujhi,بجھی
yaad,یادِ
bell,بیل
habs,حبس
lamb,لامب
konsa,کونسا
guest,گیسٹ
mobile,موبایل
on,آن
fifty,ففٹي
september,سيپٹيمبير
shea,شیا
alina,علینہ
dydy,ڈیڈی
cofi,کوفی
phir,پھر
purani,پرانی
mundaø,منڈا
dngr,ڈنگر
thikana,ٹھکانہ
ahtisab,احتساب
laray,لڑے
b,بہ
peecha,پیچھا
khalid,خالد
learn,ليرن
dod,ڈوڈ
rakhtay,رکھتے
jagoo,جاگو
masroofiyat,مصروفیت
saba,صبا
lagaya,لگایا
lift,لفٹ
bach,بچ
beautiful,بييٹفيل
pakro,پکڑو
deta,ديتا
corner,کرنير
pakistanio,پاکستانیوں
mana,منا
plastic,پلاسٹک
paron,پروں
khud,خود
pocho,پوچھو
lauta,لوٹا
totka,ٹوٹکا
sindh,سنده
ziada,زیادہ
imamat,امامت
sada,صدا
q,کیوں
main,مین
continue,کونٹینو
pathron,پتھروں
karo,کرونگا
whole,ہول
smjhe,سمجھے
princes,پرنسس
lrna,لڑنا
zong,زونگ
ain,عین
rhoge,رہوگے
bhula,بھلا
milata,ملاتا
tor,توڑ
choom,چوم
aazmaty,آزماتے
orbit,وربٹ
chbi,چابی
baby,بابي
gi,گی
alone,الون
jano,جانو
admiral,اڈمرل
barishon,بارشوں
aye,آءے
aghosh,آغوش
guzara,گزارا
life,لفی
lagta,لگتا
reply,ریپلائ
jawab,جواب
mehnga,مہنگا
hote,ھوتے
bhej,بھیج
guzaarna,گزارنا
jaganay,جگانے
darasal,دراصل
tha,تها
lots,لوٹس
masi,ماسی
milta,ملتا
ahmed,احميڈ
galay,گلے
donay,دونے
mazrat,معذرت
behron,بہروں
betha,بیٹھا
smjhi,سمجھی
hatne,ہٹنے
balti,بالٹی
muskrany,مسکرانے
ha,ہ
bagair,بغیر
smartpoetry,مارٹ
peda,پیدا
hot,هوٹ
rok,روک
sharkit,شرکت
khainchta,کھینچی
maqsood,مقصود
na,ناسمجھ
rukh,رخ
taaj,تاج
khaerat,خیرات
ma,ما
enter,ينٹر
khush,خوش
mujhe,مجھے
nibhane,نبھانے
guzrifaraz,گزری
umeedein,امیدیں
yadon,یادوں
krne,کرنے
rukay,رکے
bachna,بچنا
bheegi,بھیگی
sare,سرے
bachiyan,بچیاں
artificial,ارٹفکال
khane,کھانے
khilonay,کھلونے
afsorda,افسردہ
mar,مار
baton,باتوں
engrz,انگریز
parha,پڑھا
aaloo,آلو
babloo,ببلو
nehayet,نہایت
fahad,فاحاڈ
khr,خر
kafi,کافی
gira,گرا
hello,ہاللو
darood,درود
nasoorjazb,ناسور
afsos,افسوس
or,ور
khel,کھيل
di,دی
ror,رور
kamran,کامران
here,ہیر
jisay,جسے
agha,آغا
laj,لاج
sory,سوری
girne,گرنے
shahzada,شہزادہ
jhom,جھوم
zong,ذونگ
jazbati,جذباتی
likh,لکھ
hai,حے
poem,پويم
aouni,اونی
dheere,دھیرے
gharibon,غریبوں
kiam,قیام
areyan,آریان
jaye,جاے
thi,تھی
ghar,گهڑ
bread,بريڈ
shut,شٹ
arz,عرض
andr,اندھر
kashti,کشتی
zahra,زہرا
tumhe,تمہیں
aisay,ایسے
joke,جوک
thori,تھوڑ
strong,سٹرونگ
shahi,شاہی
welcome,ویلکیم
halat,حالت
sochne,سوچنے
ascension,اسسينسون
aazma,آزما
hkomt,حکومت
sochti,سوچتی
wait,ویٹ
thanks,تھنکس
shrk,شرک
un,وں
shak,شک
city,سٹي
to,ٹو
hont,ہونٹ
grd,گرد
tips,ٹپس
kalmat,کلمات
q,کیں
rona,رونا
flmn,فلمیں
juice,جوس
takleef,تکلیف
lain,ليں
bolna,بولنا
biknay,بکنے
nicotinesms,نکوٹین
pehli,پہلی
walid,والد
khabron,خبروں
rang,رنگ
omar,ومار
freedom,فريڈوم
ajnabi,اجنبی
karwata,کرواتا
seri0us,سیریس
tabdeeliyan,تبدیلیاں
izat,عزت
hawa,حوا
rakha,رکھا
mastung,مستونگ
ignorant,گنورانٹ
clas,کلاس
property,پروپيرٹي
dubai,دبی
aunt,آنٹ
base,باسي
hi,هی
seerat,سیرت
idot,ادو
hote,ہوتے
kabab's,کباب
griftar,گرفتار
dance,دانس
chlaon,چلاؤں
dstoor,دستور
mena£=siom£,مینا
desh,دیش
frwrd,فورڈ
rich,راچ
bithao,بٹھاو
yummi,یومی
breaker,بریکر
shoe,شوي
phat,پھٹ
qadir,قاد
iftakhar,افتخار
jinnah,جنناح
jama,جما
mohal,محال
sleep,سليپ
bingoo,بنگو
tournament,ٹورنامنٹ
mano,مانو
rngin,رنگین
bangali,بنگالی
rupy,روپے
rasta,راستہ
hun,هوں
dosti,دوستی
hello,ہیلو
maha,مہا
majburam,مجبورا
under,انڈير
sath,ساته
reply,ریپلائی
kehna,کہنا
aasmani,آسمانی
panah,پناہ
hansna,ہنسنا
khat,خط
tez,تيز
fat,فات
rohi,روہی
boryat,بوریت
nida,ندا
sochna,سوچنا
makhi,مکھی
kazmi,کاظمی
maza,مزا
ihsasat,احساسات
wts,وٹس
barh,بڑھ
haji,حاجی
motu,موٹو
acquire,اککور
head,حيڈ
purely,پيريلي
reed,ریڈ
janwar,جانور
warsa,وارسا
thay,تھے
head,ہیڈ
honton,ہونٹوں
chuke,چکے
sege,سگے
asadullah,اسدولاه
karbala,کربلا
shafqat,شفقت
all,آل
hojata,ہوجاتا
udasi,اداسی
jaam,جام
faizan,فیضان
11,11
ansariboys,انصاری
anjo,انجو
lungagirl,لونگا
darbanaisey,دربان
baano,بانو
wah,واہ
maghfrat,مغفرت
apnanay,اپنانے
charcha,چرچا
ehsas,احساس
afghan,افغان
nap,ناپ
bhai,بھأي
ink,انک
mehroomi,محرومی
thore,تھوڑے
wasim,وسیم
lafz,لفظ
jalanay,جلانے
iraaqi,عراقی
mushkil,مشکل
sam,سام
deka,دیکها
okkashan,کاشان
user,صارف
blky,بلکه
tarazo,ترازو
bikhre,بکھرے
coca,کسا
kahey,کاہے
kuch,وچ
hi,ہاۓ
saja,سجا
afzal,افضل
underneath,انڈيرنيتھ
rabta,رابطہ
dukh,دکھ
mohammad,موحامماڈ
qureshi,قریشی
iskool,اسکول
mood,موڈ
meri,ميری
zuban,زبان
zaleel,ذلیل
honey,ھنی
band,بند
razi4u,رازی
nice,نایس
film,فلم
marikese,ماری
code,کوڈ
sakhti,سختی
nal,نال
bhai,بھائی
tktey,تکتے
reply,ریپلاۓ
jese,جیسے
bi,بای
sacha,سچا
kaanch,کانچ
5,۵
qatil,قاتل
zowq,زوق
snga,سنگا
assalam,اسلام
samaa,سما
angan,آنگن
fuzail,فضیل
aamir,آمر
real,ریل
cool,کول
story,سٹوري
roti,روٹی
laitay,ليتے
gift,گفٹ
ki,کی
roz,روز
to,تؤ
chaha,چاہا
dosri,دوسری
raha,رہا
zra,ذرا
lana,لانا
keeta,کیتا
rastay,راستے
gujranwala,گجرانوالہ
2,2
fresh,فريش
ghante,گھنٹے
janti,جانتی
romaan,رومان
sitare,ستارے
shahzad,شہزاد
bnai,بنای
pairwi,پیروی
sajaya,سجایا
programmer,پروگرامر
cheezen,چیزیں
mohammed,موحامميڈ
tag,ٹاگ
paise,پیسے
awazen,آوازیں
pak,پاک
ofer,آفر
charhao,چڑھاؤ
army,آرمی
appeal,اپپيل
krwao,کرواؤں
chay,چاۓ
masoomiyat,معصومیت
barha,بڑھا
le,لے
hamesha,ہمیش
doori,دوری
dushman,دشمن
chain,چین
ab,ابتو
ho,ھو
taraf,تعرف
i,ای
chahye,چاہی
smjhdar,سمجھدار
person,پيرسون
aqal,عقل
btao,بتاؤ
hoja,ہوجا
is,اسس
mghrb,مغرب
200,٢٠٠
zer,زیر
khoob,خوب
hamare,ہمارے
whats,واٹس
khoshi,ہوشی
sarmaya'e,سرمایا
achi,اچھی
shet,شيٹ
chat,چاٹ
umeed,امید
londy,لوند
junoon,جنوں
barasti,برستی
afrad,افراد
rukhi,رخی
mani,منی
alag,الگ
fazeelat,فضیلت
iccr,اکڑ
planet,پلانيٹ
tha,تھا
rokyn,روکیں
khudkushi,خودکشی
player,پلايير
fish,فش
basta,بستا
yani,یعنی
bhok,بھوک
iraq,عراق
raftaar,رفتار
andheron,اندھیروں
prho,پڑو
pore,پورے
trust,ٹرسٹ
haqeer,حقیر
taraadub,تارا
humain,ہمیں
siraj,سراج
sherwani,شیرو
araha,آرہا
chuki,چکی
sentence,سینٹینس
singh,سنگھ
dihaaray,دہاڑے
jera,جرا
lutai,لٹا
adakaar,اداکار
paint,پینٹ
tabiyat,طبیعت
teri,تیری
sajday,سجدے
set,سیٹ
apas,اپس
ishaara,اشاره
meri,مری
naye,نیے
bas,باس
ans,آنسر
arsalan,ارسلان
shrafat,شرافت
banti,بنتی
bharta,بھرتا
alcohol,الکوحلٹارزن
main,ميں
lene,لینے
mad,ماڈ
juma,جمعہ
aadaab,آداب
after,افٹر
koyal,کویل
khandan,خاندان
jork,جوڑ
pinjray,پنجرے
bithana3,بٹھانا
shahadat,شہادت
shakoor,شکور
rasmi,رسمی
keen,کين
tere,تیرے
rehman,رحمان
hota,ہوتا
zainab,زینب
arbaz20,ارباز
kpeeta,پیتا
tujhe,تجھے
hazir,حاضر
hydrabad,حیدر
qandeel,قندیل
alhamdolillah,الحمد
manane,منانے
ungliyon,انگلیوں
iccr,اکر
20,٢٠
rehna,رہنا
badaam,بادام
galia,گلیاں
programmer,پروگراممير
want,وانٹ
half,هاف
thin,تھیں
burn,بيرن
iqbal,اقبال
door,ڈور
bathroom,باته
bro,بروڈر
lrkion,لڑکیوں
bakhair,بخیر
sardaron,سرداروں
gul,گيل
logon,لوگوں
like,لکي
bnao,بناؤ
got,گوٹ
sona,سوں
azab,عذاب
arshad,ارشد
my,مي
deen,دین
mazar,مزار
phar,پھاڑ
chahne,چاہنے
two,ٹوو
2,٢
hoor,حور
ghareeb,غریب
badlay,بدلے
awam,عوام
rehmana,رحمانہ
abu,ابو
tenu,تنوع
aasi,آسی
qbren,قبریں
simt,سمت
bolo,بولو
stdy,سٹڈی
likhna,لکھنا
badalti,بدلتی
parhna,پڑھنا
doob,ڈوب
khatarnak,خطرناک
great,گريٹ
smj,سمجھ
toheen,توہین
3,٣
talabilm,طالبعلم
shuk,شق
11pmparya,۱۱
dba,دبا
hun,ہوں
afridi,آفریدی
basen,بسیں
card,کارڈ
alina,علینا
sachi,سچی
jesi,جیسی
america,امریکہ
neeli302,نیلی
nawab,نواب
chup,چپ
help,هیلپ
dasht,دشت
q,کیونکہ
gardi,گردی
sada,سدا
dafa,دفا
glow,گلو
aao,آؤں
krdi,کردی
larkian,لڑکیاں
dushmane,دشمنی
old,ولڈ
job,جوب
send,سینڈ
flag,فلاگ
250,٢٥٠
chot,چوٹ
nasir,ناصر
preet,پریت
dhoka,دھوکا
tol,تول
maiz,ميز
hota,ھوتا
philosopher,پحلوسوپحير
shia,شیاء
nidhal,نڈھال
eye,ييي
good,گووڈ
jouni,جونی
zardari,زرداری
kashmakash,کشمکش
alcohol,الکوہو
hain,ہیں
just,جسٹ
laden,لادن
mukhatib,مخاطب
karke,کرکے
road,روڈ
khula,خلا
ilawa,علاوہ
log,لوگ
khof,خوف
jagaya,جگایا
bar,بار
mani,مانی
darje,درجے
kamyaab,کامياب
jalil10,جلیل
ujaly,اجالے
khaansi,کھانسی
ghar,گھر
lari,لڑی
membr,میمبر
kehte,کہتے
mittay,مٹتے
parta,پڑتا
sunan,سنان
umeedon,امیدوں
siwa,سوا
cheetiye,چیتے
spurd,سپرد
dost,دوست
hahaha,ہاہاہا
kesi,کیسی
mahajir,مہاجر
kimat,قیمت
kotesri,تیسری
majid,ماجد
follow,فوللو
kaman,کمان
mansoobtum,منسوب
jan,جانِ
haseeb,حسیب
mithasjab,مٹھاس
selab,سیلاب
kheilta,کھیلتا
wasta,واسطہ
balochi,بلوچی
ajab,عجب
chali,چلی
halchal,ہلچل
15,١٥
jeeta,جیتا
pukhto,پختو
adhoraø¤!œ£ent,ادھورا
daily,ڈیلی
khwahish,خواہش
dada,دادا
kon,کون
nami,نمی
doing,ڈوینگ
mahiyarab,ماہیا
sana,ثنا
moj,موج
bnaya,بنایا
hyat,حیات
tujh,تجھ
limu,لیموں
islamic,اسلامیک
trip,ٹرپ
khamoshi,خاموشی
dehe,دہی
mobile,موبلے
truth,تروته
mulaqat,ملاقات
wafat,وفات
phelata,پھیلاتا
tha,تہ
ajmalmmdaslam,اجمل
bhai,بھائ
sawera,سویرا
slap,سلاپ
october,کٹوبير
mitana,مٹانا
god,گوڈ
ubharnay,ابھرنے
your,یوٹ
prince,پرنس
re,رے
multitecsawariya,ملٹی
sonu,سونو
jazzy,جاز
baha,بها
milawt,ملاوٹ
tang,تنگ
khushiyon,خوشیوں
de,ڈے
khatre,خطرے
jlne,جلنے
btain,بٹے
lo,لو
gain,گیں
kal,کال
mili,ملی
zana,زنا
talkshalk,ٹالک
apko,آپکو
jokes,جوکس
takht,تخت
scren,سکرین
500,٥٠٠
net,نيٹ
niazi011,نیازی
jani,جانی
assembly,اسيمبلي
bethy,بیٹھی
che,چی
pocha,پوچھا
ap,اپ
roshan,روشن
brain,برين
skip,سکپ
jeena,جینا
jaldi,جلدی
khel,کھیل
also,آلسو
honor,حونور
wehshat,وحشت
dosaro,دوسروں
raw,راو
zalim,ظالم
june,جيني
sabr,صابر
iqra,اقرا
